DateTime,open,openActual,actualDate
5/18/2019 18:29:32,,5268.290933,4/18/2019 18:29:32
5/18/2019 20:00:00,,5268.290933,4/18/2019 20:00:00
5/19/2019 0:00:00,,5255.384921,4/19/2019 0:00:00
5/19/2019 4:00:00,,5214.718353,4/19/2019 4:00:00
5/19/2019 8:00:00,,5230,4/19/2019 8:00:00
5/19/2019 12:00:00,,5236.563668,4/19/2019 12:00:00
5/19/2019 16:00:00,,5258,4/19/2019 16:00:00
5/19/2019 20:00:00,,5274.880491,4/19/2019 20:00:00
5/20/2019 0:00:00,,5261.2462,4/20/2019 0:00:00
5/20/2019 4:00:00,,5276.587256,4/20/2019 4:00:00
5/20/2019 8:00:00,,5309.70133,4/20/2019 8:00:00
5/20/2019 12:00:00,,5290,4/20/2019 12:00:00
5/20/2019 16:00:00,,5293.556416,4/20/2019 16:00:00
5/20/2019 20:00:00,,5299.52,4/20/2019 20:00:00
5/21/2019 0:00:00,,5289.873885,4/21/2019 0:00:00
5/21/2019 4:00:00,,5304,4/21/2019 4:00:00
5/21/2019 8:00:00,,5279.379852,4/21/2019 8:00:00
5/21/2019 12:00:00,,5225,4/21/2019 12:00:00
5/21/2019 16:00:00,,5238.3999,4/21/2019 16:00:00
5/21/2019 20:00:00,,5214.6,4/21/2019 20:00:00
5/22/2019 0:00:00,,5259.3,4/22/2019 0:00:00
5/22/2019 4:00:00,,5220.5,4/22/2019 4:00:00
5/22/2019 8:00:00,,5244.720905,4/22/2019 8:00:00
5/22/2019 12:00:00,,5273.4,4/22/2019 12:00:00
5/22/2019 16:00:00,,5278.21812,4/22/2019 16:00:00
5/22/2019 20:00:00,,5355.555907,4/22/2019 20:00:00
5/23/2019 0:00:00,,5363.276332,4/23/2019 0:00:00
5/23/2019 4:00:00,,5419.817867,4/23/2019 4:00:00
5/23/2019 8:00:00,,5507.506412,4/23/2019 8:00:00
5/23/2019 12:00:00,,5514.657654,4/23/2019 12:00:00
5/23/2019 16:00:00,,5532.8,4/23/2019 16:00:00
5/23/2019 20:00:00,,5570.979908,4/23/2019 20:00:00
5/24/2019 0:00:00,,5494.291343,4/24/2019 0:00:00
5/24/2019 4:00:00,,5538.752694,4/24/2019 4:00:00
5/24/2019 8:00:00,,5421.15282,4/24/2019 8:00:00
5/24/2019 12:00:00,,5384.805699,4/24/2019 12:00:00
5/24/2019 16:00:00,,5429.220557,4/24/2019 16:00:00
5/24/2019 20:00:00,,5397.826555,4/24/2019 20:00:00
5/25/2019 0:00:00,,5408.979644,4/25/2019 0:00:00
5/25/2019 4:00:00,,5415.95453,4/25/2019 4:00:00
5/25/2019 8:00:00,,5401.581283,4/25/2019 8:00:00
5/25/2019 12:00:00,,5438,4/25/2019 12:00:00
5/25/2019 16:00:00,,5433.253515,4/25/2019 16:00:00
5/25/2019 20:00:00,,5470.488416,4/25/2019 20:00:00
5/26/2019 0:00:00,,5230.647391,4/26/2019 0:00:00
5/26/2019 4:00:00,,5340.000001,4/26/2019 4:00:00
5/26/2019 8:00:00,,5288.4,4/26/2019 8:00:00
5/26/2019 12:00:00,,5329.266365,4/26/2019 12:00:00
5/26/2019 16:00:00,,5291.28,4/26/2019 16:00:00
5/26/2019 20:00:00,,5260,4/26/2019 20:00:00
5/27/2019 0:00:00,,5310.027781,4/27/2019 0:00:00
5/27/2019 4:00:00,,5293.869662,4/27/2019 4:00:00
5/27/2019 8:00:00,,5320.440406,4/27/2019 8:00:00
5/27/2019 12:00:00,,5276.204816,4/27/2019 12:00:00
5/27/2019 16:00:00,,5278.157615,4/27/2019 16:00:00
5/27/2019 20:00:00,,5331.388631,4/27/2019 20:00:00
5/28/2019 0:00:00,,5296.326374,4/28/2019 0:00:00
5/28/2019 4:00:00,,5306.538669,4/28/2019 4:00:00
5/28/2019 8:00:00,,5321,4/28/2019 8:00:00
5/28/2019 12:00:00,,5335.300785,4/28/2019 12:00:00
5/28/2019 16:00:00,,5333.403125,4/28/2019 16:00:00
5/28/2019 20:00:00,,5294.662743,4/28/2019 20:00:00
5/29/2019 0:00:00,,5314.859039,4/29/2019 0:00:00
5/29/2019 4:00:00,,5319.440935,4/29/2019 4:00:00
5/29/2019 8:00:00,,5305.266555,4/29/2019 8:00:00
5/29/2019 12:00:00,,5276.514797,4/29/2019 12:00:00
5/29/2019 16:00:00,,5244.7,4/29/2019 16:00:00
5/29/2019 20:00:00,,5238.068029,4/29/2019 20:00:00
5/30/2019 0:00:00,,5242.373125,4/30/2019 0:00:00
5/30/2019 4:00:00,,5218.821494,4/30/2019 4:00:00
5/30/2019 8:00:00,,5222.7,4/30/2019 8:00:00
5/30/2019 12:00:00,,5285.996837,4/30/2019 12:00:00
5/30/2019 16:00:00,,5312.366052,4/30/2019 16:00:00
5/30/2019 20:00:00,,5301.574461,4/30/2019 20:00:00
5/31/2019 0:00:00,,5321.588397,5/1/2019 0:00:00
5/31/2019 4:00:00,,5348.27453,5/1/2019 4:00:00
5/31/2019 8:00:00,,5344.403741,5/1/2019 8:00:00
5/31/2019 12:00:00,,5363.3,5/1/2019 12:00:00
5/31/2019 16:00:00,,5357,5/1/2019 16:00:00
5/31/2019 20:00:00,,5367.030153,5/1/2019 20:00:00
6/1/2019 0:00:00,,5387.3,5/2/2019 0:00:00
6/1/2019 4:00:00,,5385.5,5/2/2019 4:00:00
6/1/2019 8:00:00,,5409.2451,5/2/2019 8:00:00
6/1/2019 12:00:00,,5446,5/2/2019 12:00:00
6/1/2019 16:00:00,,5522,5/2/2019 16:00:00
6/1/2019 20:00:00,,5501.085231,5/2/2019 20:00:00
6/2/2019 0:00:00,,5496.292158,5/3/2019 0:00:00
6/2/2019 4:00:00,,5573,5/3/2019 4:00:00
6/2/2019 8:00:00,,5689.731365,5/3/2019 8:00:00
6/2/2019 12:00:00,,5750.710945,5/3/2019 12:00:00
6/2/2019 16:00:00,,5776.4623,5/3/2019 16:00:00
6/2/2019 20:00:00,,5754.80563,5/3/2019 20:00:00
6/3/2019 0:00:00,,5771.598185,5/4/2019 0:00:00
6/3/2019 4:00:00,,5842.851504,5/4/2019 4:00:00
6/3/2019 8:00:00,,5804.254328,5/4/2019 8:00:00
6/3/2019 12:00:00,,5792.75,5/4/2019 12:00:00
6/3/2019 16:00:00,,5641.029315,5/4/2019 16:00:00
6/3/2019 20:00:00,,5678.27,5/4/2019 20:00:00
6/4/2019 0:00:00,,5836.019029,5/5/2019 0:00:00
6/4/2019 4:00:00,,5811.177271,5/5/2019 4:00:00
6/4/2019 8:00:00,,5744.944643,5/5/2019 8:00:00
6/4/2019 12:00:00,,5765,5/5/2019 12:00:00
6/4/2019 16:00:00,,5777.820111,5/5/2019 16:00:00
6/4/2019 20:00:00,,5762.723919,5/5/2019 20:00:00
6/5/2019 0:00:00,,5784,5/6/2019 0:00:00
6/5/2019 4:00:00,,5695.565582,5/6/2019 4:00:00
6/5/2019 8:00:00,,5631.479579,5/6/2019 8:00:00
6/5/2019 12:00:00,,5702,5/6/2019 12:00:00
6/5/2019 16:00:00,,5728,5/6/2019 16:00:00
6/5/2019 20:00:00,,5795.45899,5/6/2019 20:00:00
6/6/2019 0:00:00,,5754.613855,5/7/2019 0:00:00
6/6/2019 4:00:00,,5964,5/7/2019 4:00:00
6/6/2019 8:00:00,,5935,5/7/2019 8:00:00
6/6/2019 12:00:00,,5944.656002,5/7/2019 12:00:00
6/6/2019 16:00:00,,5915.888472,5/7/2019 16:00:00
6/6/2019 20:00:00,,5924.650828,5/7/2019 20:00:00
6/7/2019 0:00:00,,5848.3384,5/8/2019 0:00:00
6/7/2019 4:00:00,,5880,5/8/2019 4:00:00
6/7/2019 8:00:00,,5906.368679,5/8/2019 8:00:00
6/7/2019 12:00:00,,5938.154583,5/8/2019 12:00:00
6/7/2019 16:00:00,,5961.573467,5/8/2019 16:00:00
6/7/2019 20:00:00,,5953,5/8/2019 20:00:00
6/8/2019 0:00:00,,5982.9,5/9/2019 0:00:00
6/8/2019 4:00:00,,6074,5/9/2019 4:00:00
6/8/2019 8:00:00,,6086.940213,5/9/2019 8:00:00
6/8/2019 12:00:00,,6073,5/9/2019 12:00:00
6/8/2019 16:00:00,,6043.8,5/9/2019 16:00:00
6/8/2019 20:00:00,,6109.125326,5/9/2019 20:00:00
6/9/2019 0:00:00,,6174.7,5/10/2019 0:00:00
6/9/2019 4:00:00,,6283.600502,5/10/2019 4:00:00
6/9/2019 8:00:00,,6343.050766,5/10/2019 8:00:00
6/9/2019 12:00:00,,6307,5/10/2019 12:00:00
6/9/2019 16:00:00,,6356.770106,5/10/2019 16:00:00
6/9/2019 20:00:00,,6391.088747,5/10/2019 20:00:00
6/10/2019 0:00:00,,6380.7,5/11/2019 0:00:00
6/10/2019 4:00:00,,6576.32,5/11/2019 4:00:00
6/10/2019 8:00:00,,6795,5/11/2019 8:00:00
6/10/2019 12:00:00,,6764.488776,5/11/2019 12:00:00
6/10/2019 16:00:00,,6893.626884,5/11/2019 16:00:00
6/10/2019 20:00:00,,6910.861266,5/11/2019 20:00:00
6/11/2019 0:00:00,,7214.9804,5/12/2019 0:00:00
6/11/2019 4:00:00,,7163.499154,5/12/2019 4:00:00
6/11/2019 8:00:00,,7481,5/12/2019 8:00:00
6/11/2019 12:00:00,,7166.603131,5/12/2019 12:00:00
6/11/2019 16:00:00,,6864.93,5/12/2019 16:00:00
6/11/2019 20:00:00,,7019.790578,5/12/2019 20:00:00
6/12/2019 0:00:00,,6977.594289,5/13/2019 0:00:00
6/12/2019 4:00:00,,7033.116069,5/13/2019 4:00:00
6/12/2019 8:00:00,,7058,5/13/2019 8:00:00
6/12/2019 12:00:00,,7231.885021,5/13/2019 12:00:00
6/12/2019 16:00:00,,7783.769246,5/13/2019 16:00:00
6/12/2019 20:00:00,,7866.635869,5/13/2019 20:00:00
6/13/2019 0:00:00,,7805.718312,5/14/2019 0:00:00
6/13/2019 4:00:00,,7936.945425,5/14/2019 4:00:00
6/13/2019 8:00:00,,8306.788862,5/14/2019 8:00:00
6/13/2019 12:00:00,,8064.309829,5/14/2019 12:00:00
6/13/2019 16:00:00,,7957.287516,5/14/2019 16:00:00
6/13/2019 20:00:00,,7810,5/14/2019 20:00:00
6/14/2019 0:00:00,,8010,5/15/2019 0:00:00
6/14/2019 4:00:00,,8036.203031,5/15/2019 4:00:00
6/14/2019 8:00:00,,7887.2112,5/15/2019 8:00:00
6/14/2019 12:00:00,,7965.342004,5/15/2019 12:00:00
6/14/2019 16:00:00,,7996.6,5/15/2019 16:00:00
6/14/2019 20:00:00,,8169.06,5/15/2019 20:00:00
6/15/2019 0:00:00,,8170.2668,5/16/2019 0:00:00
6/15/2019 4:00:00,,8229.176484,5/16/2019 4:00:00
6/15/2019 8:00:00,,8007.29,5/16/2019 8:00:00
6/15/2019 12:00:00,,7875.963123,5/16/2019 12:00:00
6/15/2019 16:00:00,,8016.242296,5/16/2019 16:00:00
6/15/2019 20:00:00,,7853.465721,5/16/2019 20:00:00
6/16/2019 0:00:00,,7871.727748,5/17/2019 0:00:00
6/16/2019 4:00:00,,7357.395551,5/17/2019 4:00:00
6/16/2019 8:00:00,,7303.399998,5/17/2019 8:00:00
6/16/2019 12:00:00,,7163.299007,5/17/2019 12:00:00
6/16/2019 16:00:00,,7084,5/17/2019 16:00:00
6/16/2019 20:00:00,,7135.831885,5/17/2019 20:00:00
6/17/2019 0:00:00,,7356.0564,5/18/2019 0:00:00
6/17/2019 4:00:00,,7376.425474,5/18/2019 4:00:00
6/17/2019 8:00:00,,7307.462301,5/18/2019 8:00:00
6/17/2019 12:00:00,,7300.001,5/18/2019 12:00:00
6/17/2019 16:00:00,,7346.035144,5/18/2019 16:00:00